                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.64606,                0.54294,                0.16132,                0.70852,                0.66638,                0.69107,                0.52706,                 0.1591,                0.46908,                0.54695,                  0.525,                0.16771,             4.3057e-05,             4.3057e-05,             4.3057e-05
                     60,                0.61756,                0.54992,                0.14962,                0.75321,                0.66584,                0.70412,                0.52765,                0.21486,                0.47771,                0.53566,                0.51318,                0.16157,             4.2058e-05,             4.2058e-05,             4.2058e-05
                     61,                0.59426,                0.53743,                0.14402,                0.74178,                0.66915,                0.70314,                0.53064,                 0.2148,                0.48242,                 0.5479,                0.49826,                 0.1647,             4.1059e-05,             4.1059e-05,             4.1059e-05
                     62,                0.62745,                 0.5392,                0.15123,                0.75243,                0.65285,                0.69798,                0.53047,                0.23577,                0.48523,                0.53374,                0.50546,                0.16008,              4.006e-05,              4.006e-05,              4.006e-05
                     63,                0.61825,                0.52959,                 0.1484,                0.75315,                0.66535,                0.70789,                0.52638,                0.21726,                0.47946,                0.55242,                0.50176,                 0.1648,             3.9061e-05,             3.9061e-05,             3.9061e-05
                     64,                0.61838,                0.53115,                0.14748,                0.74498,                0.67191,                0.70813,                 0.5302,                0.23415,                0.48876,                0.53283,                0.50007,                0.16062,             3.8062e-05,             3.8062e-05,             3.8062e-05
                     65,                0.59379,                0.53631,                0.13777,                0.73365,                0.65985,                0.69945,                0.53019,                0.24325,                0.48417,                0.53652,                0.50095,                0.15842,             3.7063e-05,             3.7063e-05,             3.7063e-05
                     66,                0.60645,                 0.5265,                0.14803,                0.75372,                0.67868,                0.70758,                0.53173,                0.22548,                0.48967,                0.52557,                0.50652,                0.15902,             3.6064e-05,             3.6064e-05,             3.6064e-05
                     67,                0.59923,                0.52889,                0.14261,                0.76865,                0.67378,                 0.7154,                0.53939,                0.24806,                0.49404,                0.53058,                0.50041,                0.16169,             3.5065e-05,             3.5065e-05,             3.5065e-05
                     68,                0.60952,                0.52763,                0.14682,                0.74824,                 0.6746,                0.71489,                0.52657,                0.25593,                0.49831,                0.52508,                0.48851,                0.15655,             3.4066e-05,             3.4066e-05,             3.4066e-05
                     69,                0.59783,                0.52861,                0.14097,                0.74755,                0.68138,                0.71139,                 0.5316,                0.28752,                0.50405,                 0.5194,                0.48131,                0.15227,             3.3067e-05,             3.3067e-05,             3.3067e-05
                     70,                0.58777,                0.52391,                0.14346,                0.74125,                0.66727,                0.70731,                0.52838,                0.27133,                 0.4961,                0.52858,                0.49526,                0.15902,             3.2068e-05,             3.2068e-05,             3.2068e-05
                     71,                0.58762,                 0.5311,                 0.1359,                0.75837,                0.67407,                0.71959,                0.53645,                0.28189,                0.50251,                0.51988,                0.49585,                0.15535,             3.1069e-05,             3.1069e-05,             3.1069e-05
                     72,                0.58202,                 0.5278,                0.13681,                0.76363,                0.67751,                0.71255,                0.53555,                0.28508,                 0.5042,                0.51035,                0.49137,                0.15115,              3.007e-05,              3.007e-05,              3.007e-05
                     73,                0.58428,                0.51678,                0.13562,                 0.7597,                0.66125,                0.70811,                0.53434,                0.30372,                0.50715,                0.51845,                0.49229,                0.15558,             2.9071e-05,             2.9071e-05,             2.9071e-05
                     74,                0.59584,                0.50995,                0.13828,                0.74807,                0.67431,                0.71723,                 0.5407,                0.25732,                0.49809,                0.52728,                0.49424,                0.15914,             2.8072e-05,             2.8072e-05,             2.8072e-05
                     75,                0.57962,                0.51704,                 0.1341,                0.74333,                0.66917,                0.71535,                0.53439,                0.28616,                0.50488,                0.51875,                0.48889,                0.15353,             2.7073e-05,             2.7073e-05,             2.7073e-05
                     76,                0.57865,                0.52257,                0.13312,                0.77552,                  0.672,                0.71319,                0.53068,                0.24595,                0.49669,                0.52889,                 0.4931,                0.15538,             2.6074e-05,             2.6074e-05,             2.6074e-05
                     77,                0.58069,                0.51664,                0.13779,                0.76368,                0.67315,                0.71504,                0.52714,                0.27895,                0.50232,                 0.5129,                0.49512,                0.15401,             2.5075e-05,             2.5075e-05,             2.5075e-05
                     78,                 0.5697,                0.51095,                0.13169,                0.79355,                0.67265,                0.72334,                0.53978,                0.31924,                0.51892,                0.51783,                0.46704,                0.15099,             2.4076e-05,             2.4076e-05,             2.4076e-05
                     79,                0.57506,                0.51569,                0.12966,                0.77166,                0.67646,                0.72237,                0.53213,                0.26038,                0.50155,                0.51401,                0.48749,                0.15036,             2.3077e-05,             2.3077e-05,             2.3077e-05
                     80,                0.57702,                0.51623,                0.13021,                0.75886,                0.68004,                0.72552,                0.54181,                0.29621,                0.51603,                0.50719,                0.47539,                0.14757,             2.2078e-05,             2.2078e-05,             2.2078e-05
                     81,                0.55667,                0.51046,                0.13035,                0.76575,                0.67147,                0.72521,                0.54314,                0.30737,                0.51537,                0.50491,                  0.482,                0.15089,             2.1079e-05,             2.1079e-05,             2.1079e-05
