                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.55715,                 0.4911,                0.12437,                0.79156,                0.70746,                0.74657,                0.55505,                0.32063,                0.52625,                0.49524,                0.46482,                0.14301,              2.008e-05,              2.008e-05,              2.008e-05
                     83,                0.54189,                0.49154,                0.12193,                 0.7995,                0.68909,                0.74218,                0.54205,                0.31802,                0.52419,                0.49228,                 0.4711,                0.14361,             1.9081e-05,             1.9081e-05,             1.9081e-05
                     84,                0.55888,                0.48217,                0.12183,                0.77634,                0.69921,                0.74082,                0.54747,                0.28268,                0.52069,                0.49482,                0.47484,                0.14751,             1.8082e-05,             1.8082e-05,             1.8082e-05
                     85,                0.55169,                  0.486,                0.12228,                 0.7868,                0.69303,                0.75277,                0.55336,                0.29351,                0.52785,                0.48954,                0.47178,                0.14407,             1.7083e-05,             1.7083e-05,             1.7083e-05
                     86,                0.55048,                0.48462,                0.12271,                 0.7977,                0.69337,                0.74447,                0.55146,                0.29281,                0.52694,                0.49004,                0.47035,                0.14105,             1.6084e-05,             1.6084e-05,             1.6084e-05
                     87,                0.54915,                0.47916,                0.11826,                0.77425,                0.70284,                0.75271,                0.55173,                0.29749,                 0.5279,                0.49888,                0.46451,                0.14481,             1.5085e-05,             1.5085e-05,             1.5085e-05
                     88,                0.55145,                 0.4751,                0.12196,                0.79632,                 0.7012,                0.75069,                0.55155,                0.30727,                0.52647,                0.50343,                0.46911,                0.14959,             1.4086e-05,             1.4086e-05,             1.4086e-05
                     89,                0.54793,                0.48228,                0.12191,                0.78596,                 0.6935,                0.75081,                0.55302,                0.29686,                0.52371,                0.49248,                 0.4739,                0.14395,             1.3087e-05,             1.3087e-05,             1.3087e-05
                     90,                0.55138,                0.48022,                0.11824,                0.78739,                 0.7011,                  0.751,                0.55655,                0.29462,                0.52847,                0.49243,                0.46566,                0.14615,             1.2088e-05,             1.2088e-05,             1.2088e-05
                     91,                0.53905,                0.47766,                0.11671,                0.79921,                0.70955,                0.75662,                0.55174,                0.30666,                  0.529,                0.49649,                0.46708,                0.14901,             1.1089e-05,             1.1089e-05,             1.1089e-05
                     92,                0.54142,                0.47312,                 0.1157,                 0.8115,                0.70249,                0.75675,                0.55011,                0.28979,                0.52687,                0.49441,                0.47074,                0.14594,              1.009e-05,              1.009e-05,              1.009e-05
                     93,                0.54419,                0.47331,                0.11576,                 0.8005,                 0.6998,                0.75205,                0.55082,                0.32112,                0.53255,                0.48911,                0.46804,                0.14163,              9.091e-06,              9.091e-06,              9.091e-06
                     94,                 0.5439,                0.47481,                 0.1157,                0.79162,                0.70489,                0.75639,                0.55674,                 0.3097,                0.53366,                0.48844,                0.46518,                0.14461,              8.092e-06,              8.092e-06,              8.092e-06
                     95,                0.53372,                0.48054,                0.11235,                0.79452,                  0.702,                0.75396,                0.55175,                 0.3027,                0.52783,                0.49125,                0.46772,                0.14444,              7.093e-06,              7.093e-06,              7.093e-06
                     96,                0.52688,                0.46374,                0.11162,                0.80201,                0.69603,                0.75645,                0.55315,                0.30458,                0.52896,                0.49237,                0.46401,                0.14366,              6.094e-06,              6.094e-06,              6.094e-06
                     97,                0.54234,                0.46763,                0.11564,                0.80075,                0.70022,                0.75727,                0.55091,                0.32784,                0.53641,                0.48903,                0.45937,                0.14195,              5.095e-06,              5.095e-06,              5.095e-06
                     98,                0.53812,                0.47191,                0.11227,                0.79189,                0.70099,                0.76137,                0.55196,                0.32653,                0.53826,                  0.486,                0.46012,                0.14028,              4.096e-06,              4.096e-06,              4.096e-06
                     99,                0.54024,                0.46325,                0.11688,                0.79548,                0.70889,                0.75801,                0.55344,                0.33028,                0.53545,                0.48699,                0.46347,                 0.1418,              3.097e-06,              3.097e-06,              3.097e-06
                    100,                0.52814,                0.46847,                0.10907,                 0.7962,                0.70529,                0.75735,                0.55688,                0.32359,                0.53536,                0.48431,                0.46562,                0.14169,              2.098e-06,              2.098e-06,              2.098e-06
