                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.4355,                  1.182,                 1.3929,                0.73069,                0.65447,                0.71031,                0.48802,                 0.1085,                0.44889,                 1.4557,                 1.0798,                 1.4083,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.4059,                 1.1782,                  1.372,                0.76729,                0.66081,                0.72673,                0.54911,                0.22275,                0.50422,                 1.3055,                0.96174,                 1.2827,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.4068,                 1.1586,                 1.3777,                0.78171,                0.68058,                0.73996,                0.56215,                0.26601,                 0.5242,                 1.2461,                0.93405,                 1.2519,             0.00038211,             0.00038211,             0.00038211
                     77,                  1.403,                 1.1629,                 1.3834,                0.78063,                0.68754,                 0.7424,                 0.5675,                0.29828,                0.53184,                 1.2461,                0.93095,                 1.2485,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.4317,                 1.1888,                  1.381,                0.76941,                0.70055,                0.74278,                0.56402,                0.28221,                0.53122,                   1.24,                0.92261,                 1.2474,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.3894,                 1.1501,                 1.3591,                0.76644,                0.68811,                0.74147,                0.56168,                0.26275,                0.52656,                 1.2555,                0.93232,                 1.2537,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.3877,                 1.1609,                 1.3618,                0.77979,                0.69089,                0.74836,                0.56476,                0.23289,                0.51844,                 1.2822,                 0.9371,                  1.259,             0.00032553,             0.00032553,             0.00032553
                     81,                  1.383,                 1.1433,                  1.362,                0.78185,                 0.6796,                0.73908,                 0.5704,                0.24738,                0.52138,                 1.2663,                0.94616,                 1.2525,             0.00031138,             0.00031138,             0.00031138
                     82,                  1.349,                 1.1017,                  1.337,                0.80554,                0.68999,                0.75067,                 0.5667,                0.29714,                0.53554,                 1.2306,                0.91007,                 1.2195,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.3599,                 1.1102,                 1.3391,                0.78639,                0.70211,                0.75128,                0.57146,                 0.3147,                0.54162,                 1.2015,                0.91648,                 1.2095,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.3478,                 1.1322,                 1.3339,                0.76899,                0.69594,                0.74856,                0.57051,                0.26965,                0.52755,                 1.2495,                0.92346,                 1.2386,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.3451,                 1.1313,                 1.3477,                0.78117,                0.70092,                0.75044,                0.55715,                0.26081,                0.52687,                 1.2551,                0.91821,                 1.2597,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.3557,                 1.1153,                 1.3379,                0.79226,                0.68938,                0.74862,                0.56699,                0.27449,                0.52938,                 1.2537,                0.91038,                 1.2471,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.3601,                 1.1264,                 1.3338,                0.78552,                0.70496,                 0.7524,                0.55457,                0.31831,                0.53716,                 1.2378,                0.90908,                 1.2409,              0.0002265,              0.0002265,              0.0002265
                     88,                  1.314,                 1.0737,                 1.3286,                0.77381,                0.70326,                0.75336,                0.57313,                0.29675,                0.53967,                 1.2298,                0.91524,                 1.2367,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.3299,                 1.1028,                 1.3306,                0.78746,                0.70286,                0.75376,                0.56892,                0.30316,                0.53782,                 1.2374,                0.91137,                 1.2361,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.3412,                  1.106,                 1.3225,                0.77887,                0.70539,                0.75686,                0.57436,                0.32387,                0.54454,                 1.2116,                0.89195,                 1.2285,             0.00018406,             0.00018406,             0.00018406
